word_id;preferred_NL;variant1;variant2;variant3;variant4;variant5;variant6;variant7
261;Peftjaoeawybastet;;;;;;;
262;Djehoetiëmhat;;;;;;;
263;Tefnacht;tefnakht;tefnakhte;;;;;
264;Kasjta;;;;;;;
265;Pianchi;piy;piankhy;piye;piankhi;;;
266;Sjabaka;;;;;;;
267;Sjebitkoe;;;;;;;
268;Tanoetamon;;;;;;;
269;Gemnefchonsoebak;;;;;;;
270;Pedoebastis II;;;;;;;
271;Penamon;;;;;;;
272;Nechepsos;;;;;;;
273;Late Periode;;;;;;;
274;Apriës;apries;wahibre;;;;;
275;Inarus;;;;;;;
276;Pedoebastis III;;;;;;;
277;Amyrtaeus;amyrtaios;amyrtaeus;;;;;
278;Nectanebo II;;;;;;;
279;Chababasj;;;;;;;
280;Grieks-romeinse Periode;;;;;;;
281;Macedonische Periode;;;;;;;
282;Alexander de Grote;;;;;;;
283;Philippus Arrhidaeus;;;;;;;
284;Ptolemeïsche Periode;;;;;;;
285;Ptolemaeus I;;;;;;;
286;Ptolemaeus II;;;;;;;
287;Arsinoë II;;;;;;;
288;Ptolemaeus III;;;;;;;
289;Ptolemaeus IV;;;;;;;
290;Ptolemaeus V;;;;;;;
291;Ptolemaeus VI;;;;;;;
292;Ptolemaeus VII;;;;;;;
293;Ptolemaeus VIII;;;;;;;
294;Ptolemaeus IX;;;;;;;
295;Ptolemaeus X;;;;;;;
296;Ptolemaeus XI;;;;;;;
297;Ptolemaeus XII;;;;;;;
298;Ptolemaeus XIII;;;;;;;
299;Ptolemaeus XIV;;;;;;;
300;Ptolemaeus XV;;;;;;;
301;Romeinse Periode;;;;;;;
302;Vespasianus;;;;;;;
303;Domitianus;domitianus;domitian;;;;;
304;Trajanus;trajanus;trajan;;;;;
305;Hadrianus;;;;;;;
306;Elagebel;;;;;;;
307;Maximinianus;;;;;;;
308;Gordianus I;;;;;;;
309;Gordianus II;;;;;;;
310;Gordianus III;;;;;;;
311;Philippus I;;;;;;;
312;Aemilianus;;;;;;;
313;Aurelianus;;;;;;;
314;Tacitus;;;;;;;
315;Diocletianus;diocletianus;diocletian;diokletian;;;;
316;Constantinus de Grote;;;;;;;
317;Julianus;;;;;;;
318;Jovianus;;;;;;;
319;Byzantijnse Periode;;;;;;;
320;Marcianus;;;;;;;
321;Justinus I;;;;;;;
322;Justinianus I;;;;;;;
